bs_rep	Class	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19
137	SW	363471	107873	62059	44681	35015	28435	23149	19262	16576	14648	12149	9960	8657	7205	6201	5396	4959	4433	4130
137	WS	257524	80363	46998	33759	27152	21938	17756	15100	12953	11123	9447	8090	6760	5938	4973	4542	3817	3613	3642
138	Neutre	284510	85556	49044	36283	28988	23482	19091	15939	13381	11470	10130	8359	7423	5821	5263	4498	4153	3660	3518
138	SW	363111	107170	61980	44779	34819	28683	23377	19422	16493	14461	11978	9883	8605	7018	6283	5419	4869	4570	4235
138	WS	257908	80183	46836	34213	27159	21859	17841	15102	13167	11323	9471	8032	6873	5913	5104	4508	3901	3582	3601
139	Neutre	284193	85278	49575	36162	28647	23307	19064	16158	13472	11447	10153	8392	7232	6050	5219	4567	4032	3636	3633
139	SW	362971	108087	61649	44998	34991	28267	23487	19415	16575	14585	11840	9763	8556	7153	6271	5382	4886	4373	4260
139	WS	258167	79999	46581	33971	27283	21696	17978	15066	12898	11164	9723	8012	6989	6045	5318	4683	3845	3645	3716
140	Neutre	283940	85505	49388	35861	28723	23329	19185	16091	13587	11661	10243	8432	7207	5969	5257	4437	4172	3727	3658
140	SW	362053	107510	62126	44998	34987	28604	23185	19345	16592	14467	11906	9702	8657	7281	6360	5356	4724	4345	4232
140	WS	258557	80439	46436	34042	27411	21920	18033	15086	13080	11347	9591	8106	6878	5914	4984	4557	3975	3532	3602
